"basename","seed","threshold","pep_pass","pep_total","q_pass","q_total"
"tcell1p_scored_target",20,0.01,0,132,0,132
"tcell30p_scored_target",20,0.01,94,132,103,132
"tcell3p_scored_target",20,0.01,38,132,56,132
"drep_tcell100p_scored_target",21,0.01,109,132,126,132
"tcell0pt3p_scored_target",21,0.01,0,132,0,132
"tcell10p_scored_target",21,0.01,66,132,76,132
"tcell1p_scored_target",21,0.01,0,132,0,132
"tcell30p_scored_target",21,0.01,94,132,104,132
"tcell3p_scored_target",21,0.01,52,132,60,132
"drep_tcell100p_scored_target",22,0.01,109,132,126,132
"tcell0pt3p_scored_target",22,0.01,25,132,0,132
"tcell10p_scored_target",22,0.01,66,132,75,132
"tcell1p_scored_target",22,0.01,0,132,0,132
"tcell30p_scored_target",22,0.01,94,132,105,132
"tcell3p_scored_target",22,0.01,39,132,54,132
"drep_tcell100p_scored_target",23,0.01,109,132,126,132
"tcell0pt3p_scored_target",23,0.01,25,132,0,132
"tcell10p_scored_target",23,0.01,66,132,76,132
"tcell1p_scored_target",23,0.01,0,132,0,132
"tcell30p_scored_target",23,0.01,94,132,104,132
"tcell3p_scored_target",23,0.01,38,132,55,132
"drep_tcell100p_scored_target",24,0.01,109,132,125,132
"tcell0pt3p_scored_target",24,0.01,26,132,0,132
"tcell10p_scored_target",24,0.01,66,132,79,132
"tcell1p_scored_target",24,0.01,0,132,0,132
"tcell30p_scored_target",24,0.01,94,132,103,132
"tcell3p_scored_target",24,0.01,51,132,58,132
"drep_tcell100p_scored_target",25,0.01,109,132,126,132
"tcell0pt3p_scored_target",25,0.01,0,132,0,132
"tcell10p_scored_target",25,0.01,66,132,77,132
"tcell1p_scored_target",25,0.01,0,132,0,132
"tcell30p_scored_target",25,0.01,94,132,102,132
"tcell3p_scored_target",25,0.01,0,132,0,132
"drep_tcell100p_scored_target",26,0.01,109,132,126,132
"tcell0pt3p_scored_target",26,0.01,26,132,0,132
"tcell10p_scored_target",26,0.01,66,132,74,132
"tcell1p_scored_target",26,0.01,0,132,0,132
"tcell30p_scored_target",26,0.01,94,132,103,132
"tcell3p_scored_target",26,0.01,0,132,57,132
"drep_tcell100p_scored_target",27,0.01,109,132,126,132
"tcell0pt3p_scored_target",27,0.01,25,132,0,132
"tcell10p_scored_target",27,0.01,66,132,79,132
"tcell1p_scored_target",27,0.01,0,132,0,132
"tcell30p_scored_target",27,0.01,94,132,104,132
"tcell3p_scored_target",27,0.01,39,132,54,132
"drep_tcell100p_scored_target",28,0.01,109,132,125,132
"tcell0pt3p_scored_target",28,0.01,25,132,0,132
"tcell10p_scored_target",28,0.01,66,132,73,132
"tcell1p_scored_target",28,0.01,25,132,0,132
"tcell30p_scored_target",28,0.01,94,132,105,132
"tcell3p_scored_target",28,0.01,51,132,56,132
"drep_tcell100p_scored_target",29,0.01,109,132,126,132
"tcell0pt3p_scored_target",29,0.01,0,132,0,132
"tcell10p_scored_target",29,0.01,66,132,76,132
"tcell1p_scored_target",29,0.01,0,132,0,132
"tcell30p_scored_target",29,0.01,94,132,104,132
"tcell3p_scored_target",29,0.01,39,132,52,132
"drep_tcell100p_scored_target",30,0.01,109,132,125,132
"tcell0pt3p_scored_target",30,0.01,0,132,0,132
"tcell10p_scored_target",30,0.01,66,132,78,132
"tcell1p_scored_target",30,0.01,0,132,0,132
"tcell30p_scored_target",30,0.01,94,132,104,132
"tcell3p_scored_target",30,0.01,0,132,56,132
"drep_tcell100p_scored_target",31,0.01,109,132,125,132
"tcell0pt3p_scored_target",31,0.01,0,132,0,132
"tcell10p_scored_target",31,0.01,66,132,73,132
"tcell1p_scored_target",31,0.01,0,132,0,132
"tcell30p_scored_target",31,0.01,94,132,104,132
"tcell3p_scored_target",31,0.01,51,132,57,132
"drep_tcell100p_scored_target",32,0.01,109,132,126,132
"tcell0pt3p_scored_target",32,0.01,0,132,0,132
"tcell10p_scored_target",32,0.01,66,132,74,132
"tcell1p_scored_target",32,0.01,0,132,0,132
"tcell30p_scored_target",32,0.01,94,132,103,132
"tcell3p_scored_target",32,0.01,0,132,55,132
"drep_tcell100p_scored_target",33,0.01,109,132,125,132
"tcell0pt3p_scored_target",33,0.01,0,132,0,132
"tcell10p_scored_target",33,0.01,66,132,76,132
"tcell1p_scored_target",33,0.01,0,132,0,132
"tcell30p_scored_target",33,0.01,94,132,101,132
"tcell3p_scored_target",33,0.01,39,132,54,132
"drep_tcell100p_scored_target",34,0.01,109,132,126,132
"tcell0pt3p_scored_target",34,0.01,0,132,0,132
"tcell10p_scored_target",34,0.01,66,132,73,132
"tcell1p_scored_target",34,0.01,0,132,0,132
"tcell30p_scored_target",34,0.01,94,132,103,132
"tcell3p_scored_target",34,0.01,51,132,57,132
"drep_tcell100p_scored_target",35,0.01,109,132,126,132
"tcell0pt3p_scored_target",35,0.01,26,132,0,132
"tcell10p_scored_target",35,0.01,66,132,79,132
"tcell1p_scored_target",35,0.01,0,132,0,132
"tcell30p_scored_target",35,0.01,94,132,101,132
"tcell3p_scored_target",35,0.01,39,132,54,132
"drep_tcell100p_scored_target",36,0.01,109,132,125,132
"tcell0pt3p_scored_target",36,0.01,26,132,0,132
"tcell10p_scored_target",36,0.01,66,132,75,132
"tcell1p_scored_target",36,0.01,0,132,0,132
"tcell30p_scored_target",36,0.01,94,132,105,132
"tcell3p_scored_target",36,0.01,51,132,58,132
"drep_tcell100p_scored_target",37,0.01,109,132,125,132
"tcell0pt3p_scored_target",37,0.01,26,132,0,132
"tcell10p_scored_target",37,0.01,66,132,74,132
"tcell1p_scored_target",37,0.01,0,132,0,132
"tcell30p_scored_target",37,0.01,94,132,103,132
"tcell3p_scored_target",37,0.01,39,132,54,132
"drep_tcell100p_scored_target",38,0.01,109,132,125,132
"tcell0pt3p_scored_target",38,0.01,26,132,0,132
"tcell10p_scored_target",38,0.01,66,132,78,132
"tcell1p_scored_target",38,0.01,12,132,0,132
"tcell30p_scored_target",38,0.01,94,132,103,132
"tcell3p_scored_target",38,0.01,38,132,53,132
"drep_tcell100p_scored_target",39,0.01,109,132,126,132
"tcell0pt3p_scored_target",39,0.01,0,132,0,132
"tcell10p_scored_target",39,0.01,66,132,77,132
"tcell1p_scored_target",39,0.01,0,132,0,132
"tcell30p_scored_target",39,0.01,94,132,101,132
"tcell3p_scored_target",39,0.01,0,132,55,132
"drep_tcell100p_scored_target",40,0.01,109,132,126,132
"tcell0pt3p_scored_target",40,0.01,25,132,0,132
"tcell10p_scored_target",40,0.01,66,132,73,132
"tcell1p_scored_target",40,0.01,0,132,0,132
"tcell30p_scored_target",40,0.01,94,132,105,132
"tcell3p_scored_target",40,0.01,51,132,58,132
"drep_tcell100p_scored_target",41,0.01,109,132,126,132
"tcell0pt3p_scored_target",41,0.01,25,132,0,132
"tcell10p_scored_target",41,0.01,66,132,77,132
"tcell1p_scored_target",41,0.01,13,132,0,132
"tcell30p_scored_target",41,0.01,94,132,103,132
"tcell3p_scored_target",41,0.01,39,132,55,132
"drep_tcell100p_scored_target",42,0.01,109,132,125,132
"tcell0pt3p_scored_target",42,0.01,0,132,0,132
"tcell10p_scored_target",42,0.01,66,132,77,132
"tcell1p_scored_target",42,0.01,0,132,0,132
"tcell30p_scored_target",42,0.01,94,132,103,132
"tcell3p_scored_target",42,0.01,39,132,51,132
"drep_tcell100p_scored_target",43,0.01,109,132,125,132
"tcell0pt3p_scored_target",43,0.01,0,132,0,132
"tcell10p_scored_target",43,0.01,66,132,76,132
"tcell1p_scored_target",43,0.01,12,132,0,132
"tcell30p_scored_target",43,0.01,94,132,105,132
"tcell3p_scored_target",43,0.01,38,132,55,132
"drep_tcell100p_scored_target",44,0.01,109,132,126,132
"tcell0pt3p_scored_target",44,0.01,26,132,0,132
"tcell10p_scored_target",44,0.01,65,132,70,132
"tcell1p_scored_target",44,0.01,0,132,0,132
"tcell30p_scored_target",44,0.01,94,132,104,132
"tcell3p_scored_target",44,0.01,38,132,54,132
"drep_tcell100p_scored_target",45,0.01,109,132,125,132
"tcell0pt3p_scored_target",45,0.01,0,132,0,132
"tcell10p_scored_target",45,0.01,66,132,76,132
"tcell1p_scored_target",45,0.01,0,132,0,132
