"basename","seed","threshold","pep_pass","pep_total","q_pass","q_total"
"tcell0pt3p_scored_target",86,0.01,0,132,0,132
"tcell10p_scored_target",86,0.01,66,132,76,132
"tcell1p_scored_target",86,0.01,0,132,0,132
"tcell30p_scored_target",86,0.01,94,132,102,132
"tcell3p_scored_target",86,0.01,39,132,55,132
"drep_tcell100p_scored_target",87,0.01,109,132,125,132
"tcell0pt3p_scored_target",87,0.01,26,132,0,132
"tcell10p_scored_target",87,0.01,66,132,75,132
"tcell1p_scored_target",87,0.01,0,132,0,132
"tcell30p_scored_target",87,0.01,94,132,103,132
"tcell3p_scored_target",87,0.01,39,132,54,132
"drep_tcell100p_scored_target",88,0.01,109,132,125,132
"tcell0pt3p_scored_target",88,0.01,25,132,0,132
"tcell10p_scored_target",88,0.01,66,132,75,132
"tcell1p_scored_target",88,0.01,13,132,0,132
"tcell30p_scored_target",88,0.01,94,132,102,132
"tcell3p_scored_target",88,0.01,39,132,52,132
"drep_tcell100p_scored_target",89,0.01,109,132,126,132
"tcell0pt3p_scored_target",89,0.01,26,132,0,132
"tcell10p_scored_target",89,0.01,66,132,76,132
"tcell1p_scored_target",89,0.01,12,132,0,132
"tcell30p_scored_target",89,0.01,94,132,103,132
"tcell3p_scored_target",89,0.01,39,132,52,132
"drep_tcell100p_scored_target",90,0.01,109,132,126,132
"tcell0pt3p_scored_target",90,0.01,25,132,0,132
"tcell10p_scored_target",90,0.01,66,132,77,132
"tcell1p_scored_target",90,0.01,0,132,0,132
"tcell30p_scored_target",90,0.01,94,132,104,132
"tcell3p_scored_target",90,0.01,38,132,52,132
"drep_tcell100p_scored_target",91,0.01,109,132,125,132
"tcell0pt3p_scored_target",91,0.01,25,132,0,132
"tcell10p_scored_target",91,0.01,66,132,77,132
"tcell1p_scored_target",91,0.01,12,132,0,132
"tcell30p_scored_target",91,0.01,94,132,105,132
"tcell3p_scored_target",91,0.01,39,132,54,132
"drep_tcell100p_scored_target",92,0.01,109,132,125,132
"tcell0pt3p_scored_target",92,0.01,0,132,0,132
"tcell10p_scored_target",92,0.01,66,132,77,132
"tcell1p_scored_target",92,0.01,0,132,0,132
"tcell30p_scored_target",92,0.01,94,132,105,132
"tcell3p_scored_target",92,0.01,51,132,56,132
"drep_tcell100p_scored_target",93,0.01,109,132,126,132
"tcell0pt3p_scored_target",93,0.01,0,132,0,132
"tcell10p_scored_target",93,0.01,66,132,76,132
"tcell1p_scored_target",93,0.01,0,132,0,132
"tcell30p_scored_target",93,0.01,94,132,104,132
"tcell3p_scored_target",93,0.01,39,132,50,132
"drep_tcell100p_scored_target",94,0.01,109,132,125,132
"tcell0pt3p_scored_target",94,0.01,0,132,0,132
"tcell10p_scored_target",94,0.01,66,132,77,132
"tcell1p_scored_target",94,0.01,13,132,0,132
"tcell30p_scored_target",94,0.01,94,132,105,132
"tcell3p_scored_target",94,0.01,39,132,53,132
"drep_tcell100p_scored_target",95,0.01,109,132,125,132
"tcell0pt3p_scored_target",95,0.01,0,132,0,132
"tcell10p_scored_target",95,0.01,66,132,76,132
"tcell1p_scored_target",95,0.01,26,132,0,132
"tcell30p_scored_target",95,0.01,94,132,103,132
"tcell3p_scored_target",95,0.01,51,132,55,132
"drep_tcell100p_scored_target",96,0.01,109,132,126,132
"tcell0pt3p_scored_target",96,0.01,26,132,0,132
"tcell10p_scored_target",96,0.01,66,132,79,132
"tcell1p_scored_target",96,0.01,26,132,0,132
"tcell30p_scored_target",96,0.01,94,132,103,132
"tcell3p_scored_target",96,0.01,38,132,54,132
"drep_tcell100p_scored_target",97,0.01,109,132,126,132
"tcell0pt3p_scored_target",97,0.01,26,132,0,132
"tcell10p_scored_target",97,0.01,66,132,78,132
"tcell1p_scored_target",97,0.01,0,132,0,132
"tcell30p_scored_target",97,0.01,94,132,104,132
"tcell3p_scored_target",97,0.01,52,132,59,132
"drep_tcell100p_scored_target",98,0.01,109,132,126,132
"tcell0pt3p_scored_target",98,0.01,0,132,0,132
"tcell10p_scored_target",98,0.01,66,132,77,132
"tcell1p_scored_target",98,0.01,0,132,0,132
"tcell30p_scored_target",98,0.01,94,132,105,132
"tcell3p_scored_target",98,0.01,0,132,56,132
"drep_tcell100p_scored_target",99,0.01,109,132,125,132
"tcell0pt3p_scored_target",99,0.01,26,132,0,132
"tcell10p_scored_target",99,0.01,66,132,74,132
"tcell1p_scored_target",99,0.01,0,132,0,132
"tcell30p_scored_target",99,0.01,94,132,105,132
"tcell3p_scored_target",99,0.01,38,132,54,132
"drep_tcell100p_scored_target",100,0.01,109,132,126,132
"tcell0pt3p_scored_target",100,0.01,0,132,0,132
"tcell10p_scored_target",100,0.01,66,132,72,132
"tcell1p_scored_target",100,0.01,0,132,0,132
"tcell30p_scored_target",100,0.01,94,132,104,132
"tcell3p_scored_target",100,0.01,0,132,55,132
"drep_tcell100p_scored_target",1,0.05,113,132,127,132
"tcell0pt3p_scored_target",1,0.05,34,132,52,132
"tcell10p_scored_target",1,0.05,67,132,78,132
"tcell1p_scored_target",1,0.05,27,132,36,132
"tcell30p_scored_target",1,0.05,95,132,106,132
"tcell3p_scored_target",1,0.05,53,132,61,132
"drep_tcell100p_scored_target",2,0.05,113,132,127,132
"tcell0pt3p_scored_target",2,0.05,29,132,40,132
"tcell10p_scored_target",2,0.05,68,132,80,132
"tcell1p_scored_target",2,0.05,16,132,24,132
"tcell30p_scored_target",2,0.05,95,132,106,132
"tcell3p_scored_target",2,0.05,52,132,59,132
"drep_tcell100p_scored_target",3,0.05,113,132,127,132
"tcell0pt3p_scored_target",3,0.05,31,132,45,132
"tcell10p_scored_target",3,0.05,68,132,80,132
"tcell1p_scored_target",3,0.05,14,132,21,132
"tcell30p_scored_target",3,0.05,95,132,105,132
"tcell3p_scored_target",3,0.05,42,132,54,132
"drep_tcell100p_scored_target",4,0.05,113,132,127,132
"tcell0pt3p_scored_target",4,0.05,29,132,41,132
"tcell10p_scored_target",4,0.05,67,132,76,132
"tcell1p_scored_target",4,0.05,27,132,34,132
"tcell30p_scored_target",4,0.05,95,132,106,132
"tcell3p_scored_target",4,0.05,52,132,59,132
"drep_tcell100p_scored_target",5,0.05,112,132,127,132
"tcell0pt3p_scored_target",5,0.05,28,132,39,132
"tcell10p_scored_target",5,0.05,68,132,82,132
"tcell1p_scored_target",5,0.05,27,132,33,132
"tcell30p_scored_target",5,0.05,95,132,104,132
"tcell3p_scored_target",5,0.05,51,132,58,132
"drep_tcell100p_scored_target",6,0.05,113,132,127,132
"tcell0pt3p_scored_target",6,0.05,28,132,39,132
"tcell10p_scored_target",6,0.05,68,132,81,132
"tcell1p_scored_target",6,0.05,14,132,18,132
"tcell30p_scored_target",6,0.05,95,132,106,132
"tcell3p_scored_target",6,0.05,53,132,59,132
"drep_tcell100p_scored_target",7,0.05,113,132,126,132
"tcell0pt3p_scored_target",7,0.05,28,132,35,132
"tcell10p_scored_target",7,0.05,68,132,80,132
"tcell1p_scored_target",7,0.05,16,132,27,132
"tcell30p_scored_target",7,0.05,95,132,106,132
"tcell3p_scored_target",7,0.05,53,132,59,132
"drep_tcell100p_scored_target",8,0.05,113,132,126,132
"tcell0pt3p_scored_target",8,0.05,28,132,38,132
"tcell10p_scored_target",8,0.05,68,132,80,132
"tcell1p_scored_target",8,0.05,24,132,33,132
"tcell30p_scored_target",8,0.05,95,132,106,132
"tcell3p_scored_target",8,0.05,42,132,57,132
"drep_tcell100p_scored_target",9,0.05,113,132,127,132
"tcell0pt3p_scored_target",9,0.05,28,132,40,132
"tcell10p_scored_target",9,0.05,68,132,79,132
"tcell1p_scored_target",9,0.05,26,132,31,132
"tcell30p_scored_target",9,0.05,95,132,106,132
"tcell3p_scored_target",9,0.05,44,132,58,132
"drep_tcell100p_scored_target",10,0.05,112,132,127,132
"tcell0pt3p_scored_target",10,0.05,29,132,39,132
"tcell10p_scored_target",10,0.05,67,132,77,132
"tcell1p_scored_target",10,0.05,13,132,18,132
"tcell30p_scored_target",10,0.05,95,132,106,132
"tcell3p_scored_target",10,0.05,43,132,56,132
"drep_tcell100p_scored_target",11,0.05,113,132,127,132
"tcell0pt3p_scored_target",11,0.05,29,132,42,132
"tcell10p_scored_target",11,0.05,68,132,80,132
"tcell1p_scored_target",11,0.05,25,132,31,132
"tcell30p_scored_target",11,0.05,95,132,106,132
"tcell3p_scored_target",11,0.05,46,132,58,132
"drep_tcell100p_scored_target",12,0.05,113,132,127,132
"tcell0pt3p_scored_target",12,0.05,30,132,41,132
"tcell10p_scored_target",12,0.05,67,132,78,132
"tcell1p_scored_target",12,0.05,16,132,30,132
"tcell30p_scored_target",12,0.05,95,132,104,132
"tcell3p_scored_target",12,0.05,54,132,65,132
"drep_tcell100p_scored_target",13,0.05,113,132,127,132
"tcell0pt3p_scored_target",13,0.05,32,132,45,132
"tcell10p_scored_target",13,0.05,68,132,80,132
"tcell1p_scored_target",13,0.05,26,132,32,132
"tcell30p_scored_target",13,0.05,95,132,104,132
"tcell3p_scored_target",13,0.05,52,132,60,132
"drep_tcell100p_scored_target",14,0.05,114,132,127,132
"tcell0pt3p_scored_target",14,0.05,31,132,44,132
"tcell10p_scored_target",14,0.05,67,132,79,132
"tcell1p_scored_target",14,0.05,15,132,23,132
"tcell30p_scored_target",14,0.05,95,132,106,132
"tcell3p_scored_target",14,0.05,46,132,59,132
"drep_tcell100p_scored_target",15,0.05,114,132,127,132
"tcell0pt3p_scored_target",15,0.05,30,132,41,132
"tcell10p_scored_target",15,0.05,68,132,79,132
"tcell1p_scored_target",15,0.05,15,132,22,132
"tcell30p_scored_target",15,0.05,95,132,105,132
"tcell3p_scored_target",15,0.05,53,132,59,132
"drep_tcell100p_scored_target",16,0.05,113,132,127,132
"tcell0pt3p_scored_target",16,0.05,29,132,40,132
"tcell10p_scored_target",16,0.05,68,132,80,132
"tcell1p_scored_target",16,0.05,16,132,27,132
"tcell30p_scored_target",16,0.05,95,132,105,132
"tcell3p_scored_target",16,0.05,53,132,61,132
"drep_tcell100p_scored_target",17,0.05,113,132,127,132
"tcell0pt3p_scored_target",17,0.05,37,132,45,132
"tcell10p_scored_target",17,0.05,68,132,80,132
"tcell1p_scored_target",17,0.05,16,132,28,132
"tcell30p_scored_target",17,0.05,95,132,106,132
"tcell3p_scored_target",17,0.05,51,132,59,132
"drep_tcell100p_scored_target",18,0.05,113,132,127,132
"tcell0pt3p_scored_target",18,0.05,29,132,40,132
"tcell10p_scored_target",18,0.05,67,132,78,132
"tcell1p_scored_target",18,0.05,26,132,32,132
"tcell30p_scored_target",18,0.05,95,132,104,132
"tcell3p_scored_target",18,0.05,48,132,59,132
"drep_tcell100p_scored_target",19,0.05,113,132,127,132
"tcell0pt3p_scored_target",19,0.05,40,132,47,132
"tcell10p_scored_target",19,0.05,67,132,77,132
"tcell1p_scored_target",19,0.05,15,132,23,132
"tcell30p_scored_target",19,0.05,95,132,106,132
"tcell3p_scored_target",19,0.05,41,132,56,132
"drep_tcell100p_scored_target",20,0.05,113,132,127,132
"tcell0pt3p_scored_target",20,0.05,29,132,40,132
"tcell10p_scored_target",20,0.05,68,132,78,132
"tcell1p_scored_target",20,0.05,15,132,20,132
"tcell30p_scored_target",20,0.05,95,132,104,132
"tcell3p_scored_target",20,0.05,48,132,57,132
"drep_tcell100p_scored_target",21,0.05,114,132,127,132
"tcell0pt3p_scored_target",21,0.05,32,132,46,132
"tcell10p_scored_target",21,0.05,68,132,81,132
"tcell1p_scored_target",21,0.05,16,132,28,132
"tcell30p_scored_target",21,0.05,95,132,106,132
"tcell3p_scored_target",21,0.05,54,132,66,132
"drep_tcell100p_scored_target",22,0.05,115,132,127,132
"tcell0pt3p_scored_target",22,0.05,29,132,39,132
"tcell10p_scored_target",22,0.05,68,132,80,132
"tcell1p_scored_target",22,0.05,15,132,22,132
"tcell30p_scored_target",22,0.05,95,132,106,132
"tcell3p_scored_target",22,0.05,43,132,56,132
"drep_tcell100p_scored_target",23,0.05,114,132,127,132
"tcell0pt3p_scored_target",23,0.05,30,132,41,132
"tcell10p_scored_target",23,0.05,67,132,78,132
"tcell1p_scored_target",23,0.05,15,132,22,132
"tcell30p_scored_target",23,0.05,95,132,106,132
"tcell3p_scored_target",23,0.05,51,132,58,132
"drep_tcell100p_scored_target",24,0.05,113,132,127,132
"tcell0pt3p_scored_target",24,0.05,28,132,41,132
"tcell10p_scored_target",24,0.05,68,132,80,132
"tcell1p_scored_target",24,0.05,16,132,28,132
"tcell30p_scored_target",24,0.05,95,132,105,132
"tcell3p_scored_target",24,0.05,54,132,63,132
"drep_tcell100p_scored_target",25,0.05,114,132,127,132
"tcell0pt3p_scored_target",25,0.05,32,132,44,132
"tcell10p_scored_target",25,0.05,68,132,80,132
"tcell1p_scored_target",25,0.05,27,132,33,132
"tcell30p_scored_target",25,0.05,95,132,105,132
"tcell3p_scored_target",25,0.05,43,132,57,132
"drep_tcell100p_scored_target",26,0.05,114,132,127,132
"tcell0pt3p_scored_target",26,0.05,28,132,40,132
"tcell10p_scored_target",26,0.05,68,132,78,132
"tcell1p_scored_target",26,0.05,15,132,22,132
"tcell30p_scored_target",26,0.05,95,132,105,132
"tcell3p_scored_target",26,0.05,53,132,60,132
"drep_tcell100p_scored_target",27,0.05,113,132,127,132
"tcell0pt3p_scored_target",27,0.05,29,132,39,132
"tcell10p_scored_target",27,0.05,68,132,82,132
"tcell1p_scored_target",27,0.05,14,132,18,132
"tcell30p_scored_target",27,0.05,95,132,106,132
"tcell3p_scored_target",27,0.05,45,132,57,132
"drep_tcell100p_scored_target",28,0.05,113,132,127,132
"tcell0pt3p_scored_target",28,0.05,29,132,39,132
"tcell10p_scored_target",28,0.05,68,132,78,132
"tcell1p_scored_target",28,0.05,27,132,33,132
"tcell30p_scored_target",28,0.05,95,132,106,132
"tcell3p_scored_target",28,0.05,53,132,60,132
"drep_tcell100p_scored_target",29,0.05,113,132,127,132
"tcell0pt3p_scored_target",29,0.05,38,132,45,132
"tcell10p_scored_target",29,0.05,68,132,80,132
"tcell1p_scored_target",29,0.05,0,132,16,132
"tcell30p_scored_target",29,0.05,95,132,106,132
"tcell3p_scored_target",29,0.05,42,132,56,132
"drep_tcell100p_scored_target",30,0.05,113,132,127,132
"tcell0pt3p_scored_target",30,0.05,30,132,44,132
"tcell10p_scored_target",30,0.05,68,132,80,132
"tcell1p_scored_target",30,0.05,14,132,18,132
"tcell30p_scored_target",30,0.05,95,132,106,132
"tcell3p_scored_target",30,0.05,53,132,60,132
"drep_tcell100p_scored_target",31,0.05,113,132,127,132
"tcell0pt3p_scored_target",31,0.05,34,132,50,132
"tcell10p_scored_target",31,0.05,67,132,78,132
"tcell1p_scored_target",31,0.05,15,132,23,132
"tcell30p_scored_target",31,0.05,95,132,106,132
"tcell3p_scored_target",31,0.05,53,132,60,132
"drep_tcell100p_scored_target",32,0.05,113,132,127,132
"tcell0pt3p_scored_target",32,0.05,40,132,47,132
"tcell10p_scored_target",32,0.05,68,132,80,132
"tcell1p_scored_target",32,0.05,16,132,31,132
"tcell30p_scored_target",32,0.05,95,132,106,132
"tcell3p_scored_target",32,0.05,53,132,62,132
"drep_tcell100p_scored_target",33,0.05,113,132,127,132
"tcell0pt3p_scored_target",33,0.05,39,132,45,132
"tcell10p_scored_target",33,0.05,68,132,80,132
"tcell1p_scored_target",33,0.05,0,132,14,132
"tcell30p_scored_target",33,0.05,95,132,105,132
"tcell3p_scored_target",33,0.05,43,132,57,132
"drep_tcell100p_scored_target",34,0.05,114,132,127,132
"tcell0pt3p_scored_target",34,0.05,29,132,42,132
"tcell10p_scored_target",34,0.05,67,132,76,132
"tcell1p_scored_target",34,0.05,16,132,30,132
"tcell30p_scored_target",34,0.05,95,132,106,132
"tcell3p_scored_target",34,0.05,53,132,61,132
"drep_tcell100p_scored_target",35,0.05,113,132,127,132
"tcell0pt3p_scored_target",35,0.05,28,132,40,132
"tcell10p_scored_target",35,0.05,67,132,79,132
"tcell1p_scored_target",35,0.05,0,132,14,132
"tcell30p_scored_target",35,0.05,95,132,105,132
"tcell3p_scored_target",35,0.05,45,132,58,132
"drep_tcell100p_scored_target",36,0.05,113,132,127,132
"tcell0pt3p_scored_target",36,0.05,28,132,38,132
"tcell10p_scored_target",36,0.05,67,132,79,132
"tcell1p_scored_target",36,0.05,26,132,31,132
"tcell30p_scored_target",36,0.05,95,132,106,132
"tcell3p_scored_target",36,0.05,54,132,65,132
"drep_tcell100p_scored_target",37,0.05,113,132,127,132
"tcell0pt3p_scored_target",37,0.05,28,132,40,132
"tcell10p_scored_target",37,0.05,68,132,79,132
"tcell1p_scored_target",37,0.05,13,132,16,132
"tcell30p_scored_target",37,0.05,95,132,105,132
"tcell3p_scored_target",37,0.05,44,132,57,132
"drep_tcell100p_scored_target",38,0.05,113,132,127,132
"tcell0pt3p_scored_target",38,0.05,28,132,39,132
"tcell10p_scored_target",38,0.05,68,132,79,132
"tcell1p_scored_target",38,0.05,15,132,27,132
"tcell30p_scored_target",38,0.05,95,132,105,132
"tcell3p_scored_target",38,0.05,51,132,60,132
"drep_tcell100p_scored_target",39,0.05,113,132,127,132
"tcell0pt3p_scored_target",39,0.05,32,132,45,132
"tcell10p_scored_target",39,0.05,68,132,80,132
"tcell1p_scored_target",39,0.05,15,132,23,132
"tcell30p_scored_target",39,0.05,95,132,105,132
"tcell3p_scored_target",39,0.05,52,132,59,132
"drep_tcell100p_scored_target",40,0.05,114,132,127,132
"tcell0pt3p_scored_target",40,0.05,29,132,37,132
"tcell10p_scored_target",40,0.05,67,132,77,132
"tcell1p_scored_target",40,0.05,27,132,32,132
"tcell30p_scored_target",40,0.05,95,132,106,132
"tcell3p_scored_target",40,0.05,53,132,59,132
"drep_tcell100p_scored_target",41,0.05,113,132,127,132
"tcell0pt3p_scored_target",41,0.05,29,132,42,132
"tcell10p_scored_target",41,0.05,67,132,78,132
"tcell1p_scored_target",41,0.05,15,132,22,132
"tcell30p_scored_target",41,0.05,95,132,105,132
"tcell3p_scored_target",41,0.05,45,132,57,132
"drep_tcell100p_scored_target",42,0.05,113,132,127,132
"tcell0pt3p_scored_target",42,0.05,40,132,44,132
"tcell10p_scored_target",42,0.05,68,132,79,132
"tcell1p_scored_target",42,0.05,15,132,22,132
"tcell30p_scored_target",42,0.05,95,132,106,132
"tcell3p_scored_target",42,0.05,42,132,54,132
"drep_tcell100p_scored_target",43,0.05,113,132,127,132
"tcell0pt3p_scored_target",43,0.05,29,132,36,132
"tcell10p_scored_target",43,0.05,68,132,80,132
"tcell1p_scored_target",43,0.05,15,132,27,132
"tcell30p_scored_target",43,0.05,95,132,106,132
"tcell3p_scored_target",43,0.05,46,132,59,132
"drep_tcell100p_scored_target",44,0.05,113,132,127,132
"tcell0pt3p_scored_target",44,0.05,28,132,37,132
"tcell10p_scored_target",44,0.05,67,132,78,132
"tcell1p_scored_target",44,0.05,16,132,28,132
"tcell30p_scored_target",44,0.05,95,132,106,132
"tcell3p_scored_target",44,0.05,51,132,59,132
"drep_tcell100p_scored_target",45,0.05,113,132,127,132
"tcell0pt3p_scored_target",45,0.05,33,132,44,132
"tcell10p_scored_target",45,0.05,68,132,79,132
"tcell1p_scored_target",45,0.05,16,132,29,132
"tcell30p_scored_target",45,0.05,95,132,106,132
"tcell3p_scored_target",45,0.05,53,132,62,132
"drep_tcell100p_scored_target",46,0.05,113,132,127,132
"tcell0pt3p_scored_target",46,0.05,41,132,53,132
"tcell10p_scored_target",46,0.05,67,132,78,132
"tcell1p_scored_target",46,0.05,14,132,18,132
"tcell30p_scored_target",46,0.05,95,132,106,132
"tcell3p_scored_target",46,0.05,43,132,58,132
"drep_tcell100p_scored_target",47,0.05,113,132,127,132
"tcell0pt3p_scored_target",47,0.05,39,132,46,132
"tcell10p_scored_target",47,0.05,68,132,79,132
"tcell1p_scored_target",47,0.05,13,132,18,132
"tcell30p_scored_target",47,0.05,95,132,106,132
"tcell3p_scored_target",47,0.05,42,132,55,132
"drep_tcell100p_scored_target",48,0.05,113,132,126,132
"tcell0pt3p_scored_target",48,0.05,34,132,47,132
"tcell10p_scored_target",48,0.05,68,132,80,132
"tcell1p_scored_target",48,0.05,0,132,14,132
"tcell30p_scored_target",48,0.05,95,132,104,132
"tcell3p_scored_target",48,0.05,53,132,58,132
"drep_tcell100p_scored_target",49,0.05,114,132,127,132
"tcell0pt3p_scored_target",49,0.05,28,132,41,132
"tcell10p_scored_target",49,0.05,68,132,79,132
"tcell1p_scored_target",49,0.05,27,132,35,132
"tcell30p_scored_target",49,0.05,95,132,106,132
"tcell3p_scored_target",49,0.05,47,132,58,132
"drep_tcell100p_scored_target",50,0.05,114,132,127,132
"tcell0pt3p_scored_target",50,0.05,30,132,51,132
"tcell10p_scored_target",50,0.05,68,132,79,132
"tcell1p_scored_target",50,0.05,14,132,20,132
"tcell30p_scored_target",50,0.05,95,132,105,132
"tcell3p_scored_target",50,0.05,42,132,56,132
"drep_tcell100p_scored_target",51,0.05,113,132,127,132
"tcell0pt3p_scored_target",51,0.05,29,132,37,132
"tcell10p_scored_target",51,0.05,68,132,79,132
"tcell1p_scored_target",51,0.05,15,132,25,132
"tcell30p_scored_target",51,0.05,95,132,106,132
"tcell3p_scored_target",51,0.05,53,132,61,132
"drep_tcell100p_scored_target",52,0.05,113,132,127,132
"tcell0pt3p_scored_target",52,0.05,28,132,36,132
"tcell10p_scored_target",52,0.05,67,132,78,132
"tcell1p_scored_target",52,0.05,21,132,42,132
"tcell30p_scored_target",52,0.05,95,132,106,132
"tcell3p_scored_target",52,0.05,45,132,57,132
"drep_tcell100p_scored_target",53,0.05,113,132,127,132
"tcell0pt3p_scored_target",53,0.05,30,132,42,132
"tcell10p_scored_target",53,0.05,68,132,80,132
"tcell1p_scored_target",53,0.05,17,132,31,132
"tcell30p_scored_target",53,0.05,95,132,106,132
"tcell3p_scored_target",53,0.05,41,132,53,132
"drep_tcell100p_scored_target",54,0.05,113,132,127,132
"tcell0pt3p_scored_target",54,0.05,29,132,42,132
"tcell10p_scored_target",54,0.05,67,132,78,132
"tcell1p_scored_target",54,0.05,16,132,26,132
"tcell30p_scored_target",54,0.05,95,132,106,132
"tcell3p_scored_target",54,0.05,53,132,61,132
"drep_tcell100p_scored_target",55,0.05,112,132,127,132
"tcell0pt3p_scored_target",55,0.05,29,132,39,132
"tcell10p_scored_target",55,0.05,68,132,79,132
"tcell1p_scored_target",55,0.05,14,132,20,132
"tcell30p_scored_target",55,0.05,95,132,105,132
"tcell3p_scored_target",55,0.05,45,132,57,132
"drep_tcell100p_scored_target",56,0.05,113,132,127,132
"tcell0pt3p_scored_target",56,0.05,29,132,42,132
"tcell10p_scored_target",56,0.05,68,132,80,132
"tcell1p_scored_target",56,0.05,16,132,28,132
"tcell30p_scored_target",56,0.05,95,132,105,132
"tcell3p_scored_target",56,0.05,43,132,57,132
"drep_tcell100p_scored_target",57,0.05,113,132,127,132
"tcell0pt3p_scored_target",57,0.05,29,132,40,132
"tcell10p_scored_target",57,0.05,67,132,75,132
"tcell1p_scored_target",57,0.05,16,132,28,132
"tcell30p_scored_target",57,0.05,95,132,106,132
"tcell3p_scored_target",57,0.05,54,132,64,132
"drep_tcell100p_scored_target",58,0.05,113,132,127,132
"tcell0pt3p_scored_target",58,0.05,39,132,46,132
"tcell10p_scored_target",58,0.05,68,132,80,132
"tcell1p_scored_target",58,0.05,16,132,27,132
"tcell30p_scored_target",58,0.05,95,132,106,132
"tcell3p_scored_target",58,0.05,53,132,62,132
"drep_tcell100p_scored_target",59,0.05,114,132,127,132
"tcell0pt3p_scored_target",59,0.05,31,132,46,132
"tcell10p_scored_target",59,0.05,67,132,76,132
"tcell1p_scored_target",59,0.05,26,132,32,132
"tcell30p_scored_target",59,0.05,95,132,104,132
"tcell3p_scored_target",59,0.05,41,132,54,132
"drep_tcell100p_scored_target",60,0.05,113,132,126,132
"tcell0pt3p_scored_target",60,0.05,29,132,39,132
"tcell10p_scored_target",60,0.05,68,132,80,132
"tcell1p_scored_target",60,0.05,0,132,12,132
"tcell30p_scored_target",60,0.05,95,132,106,132
"tcell3p_scored_target",60,0.05,53,132,59,132
"drep_tcell100p_scored_target",61,0.05,113,132,127,132
"tcell0pt3p_scored_target",61,0.05,30,132,44,132
"tcell10p_scored_target",61,0.05,67,132,78,132
"tcell1p_scored_target",61,0.05,19,132,31,132
"tcell30p_scored_target",61,0.05,95,132,107,132
"tcell3p_scored_target",61,0.05,53,132,61,132
"drep_tcell100p_scored_target",62,0.05,112,132,127,132
"tcell0pt3p_scored_target",62,0.05,28,132,38,132
"tcell10p_scored_target",62,0.05,67,132,77,132
"tcell1p_scored_target",62,0.05,0,132,16,132
"tcell30p_scored_target",62,0.05,95,132,106,132
"tcell3p_scored_target",62,0.05,53,132,61,132
"drep_tcell100p_scored_target",63,0.05,113,132,127,132
"tcell0pt3p_scored_target",63,0.05,32,132,44,132
"tcell10p_scored_target",63,0.05,68,132,80,132
"tcell1p_scored_target",63,0.05,15,132,27,132
"tcell30p_scored_target",63,0.05,95,132,105,132
"tcell3p_scored_target",63,0.05,45,132,58,132
"drep_tcell100p_scored_target",64,0.05,113,132,127,132
"tcell0pt3p_scored_target",64,0.05,28,132,41,132
"tcell10p_scored_target",64,0.05,68,132,78,132
"tcell1p_scored_target",64,0.05,17,132,30,132
"tcell30p_scored_target",64,0.05,95,132,105,132
"tcell3p_scored_target",64,0.05,53,132,59,132
"drep_tcell100p_scored_target",65,0.05,114,132,127,132
"tcell0pt3p_scored_target",65,0.05,31,132,42,132
"tcell10p_scored_target",65,0.05,68,132,79,132
"tcell1p_scored_target",65,0.05,16,132,29,132
"tcell30p_scored_target",65,0.05,95,132,106,132
"tcell3p_scored_target",65,0.05,41,132,53,132
"drep_tcell100p_scored_target",66,0.05,113,132,127,132
"tcell0pt3p_scored_target",66,0.05,35,132,45,132
"tcell10p_scored_target",66,0.05,67,132,79,132
"tcell1p_scored_target",66,0.05,15,132,22,132
"tcell30p_scored_target",66,0.05,95,132,106,132
"tcell3p_scored_target",66,0.05,52,132,59,132
"drep_tcell100p_scored_target",67,0.05,112,132,126,132
"tcell0pt3p_scored_target",67,0.05,31,132,45,132
"tcell10p_scored_target",67,0.05,68,132,81,132
"tcell1p_scored_target",67,0.05,16,132,22,132
"tcell30p_scored_target",67,0.05,95,132,105,132
"tcell3p_scored_target",67,0.05,52,132,59,132
"drep_tcell100p_scored_target",68,0.05,113,132,127,132
"tcell0pt3p_scored_target",68,0.05,29,132,42,132
"tcell10p_scored_target",68,0.05,68,132,80,132
"tcell1p_scored_target",68,0.05,15,132,26,132
"tcell30p_scored_target",68,0.05,95,132,105,132
"tcell3p_scored_target",68,0.05,52,132,60,132
"drep_tcell100p_scored_target",69,0.05,112,132,127,132
"tcell0pt3p_scored_target",69,0.05,30,132,42,132
"tcell10p_scored_target",69,0.05,67,132,78,132
"tcell1p_scored_target",69,0.05,17,132,31,132
"tcell30p_scored_target",69,0.05,95,132,106,132
"tcell3p_scored_target",69,0.05,42,132,55,132
"drep_tcell100p_scored_target",70,0.05,113,132,126,132
"tcell0pt3p_scored_target",70,0.05,40,132,50,132
"tcell10p_scored_target",70,0.05,68,132,80,132
"tcell1p_scored_target",70,0.05,14,132,21,132
"tcell30p_scored_target",70,0.05,95,132,105,132
"tcell3p_scored_target",70,0.05,46,132,58,132
"drep_tcell100p_scored_target",71,0.05,113,132,126,132
"tcell0pt3p_scored_target",71,0.05,32,132,45,132
"tcell10p_scored_target",71,0.05,68,132,80,132
"tcell1p_scored_target",71,0.05,15,132,22,132
"tcell30p_scored_target",71,0.05,95,132,106,132
"tcell3p_scored_target",71,0.05,52,132,60,132
"drep_tcell100p_scored_target",72,0.05,113,132,127,132
"tcell0pt3p_scored_target",72,0.05,38,132,48,132
