"seed","basename","file","threshold","pep_total","pep_pass","q_total","q_pass"
26,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed26_label0_pep_ipspline.txt",0.05,132,114,132,127
27,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed27_label0_pep_ipspline.txt",0.01,132,109,132,126
27,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed27_label0_pep_ipspline.txt",0.05,132,113,132,127
28,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed28_label0_pep_ipspline.txt",0.01,132,109,132,125
28,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed28_label0_pep_ipspline.txt",0.05,132,113,132,127
29,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed29_label0_pep_ipspline.txt",0.01,132,109,132,126
29,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed29_label0_pep_ipspline.txt",0.05,132,113,132,127
30,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed30_label0_pep_ipspline.txt",0.01,132,109,132,125
30,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed30_label0_pep_ipspline.txt",0.05,132,113,132,127
31,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed31_label0_pep_ipspline.txt",0.01,132,109,132,125
31,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed31_label0_pep_ipspline.txt",0.05,132,113,132,127
32,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed32_label0_pep_ipspline.txt",0.01,132,109,132,126
32,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed32_label0_pep_ipspline.txt",0.05,132,113,132,127
33,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed33_label0_pep_ipspline.txt",0.01,132,109,132,125
33,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed33_label0_pep_ipspline.txt",0.05,132,113,132,127
34,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed34_label0_pep_ipspline.txt",0.01,132,109,132,126
34,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed34_label0_pep_ipspline.txt",0.05,132,114,132,127
35,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed35_label0_pep_ipspline.txt",0.01,132,109,132,126
35,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed35_label0_pep_ipspline.txt",0.05,132,113,132,127
36,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed36_label0_pep_ipspline.txt",0.01,132,109,132,125
36,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed36_label0_pep_ipspline.txt",0.05,132,113,132,127
37,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed37_label0_pep_ipspline.txt",0.01,132,109,132,125
37,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed37_label0_pep_ipspline.txt",0.05,132,113,132,127
38,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed38_label0_pep_ipspline.txt",0.01,132,109,132,125
38,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed38_label0_pep_ipspline.txt",0.05,132,113,132,127
39,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed39_label0_pep_ipspline.txt",0.01,132,109,132,126
39,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed39_label0_pep_ipspline.txt",0.05,132,113,132,127
40,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed40_label0_pep_ipspline.txt",0.01,132,109,132,126
40,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed40_label0_pep_ipspline.txt",0.05,132,114,132,127
41,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed41_label0_pep_ipspline.txt",0.01,132,109,132,126
41,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed41_label0_pep_ipspline.txt",0.05,132,113,132,127
42,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed42_label0_pep_ipspline.txt",0.01,132,109,132,125
42,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed42_label0_pep_ipspline.txt",0.05,132,113,132,127
43,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed43_label0_pep_ipspline.txt",0.01,132,109,132,125
43,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed43_label0_pep_ipspline.txt",0.05,132,113,132,127
44,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed44_label0_pep_ipspline.txt",0.01,132,109,132,126
44,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed44_label0_pep_ipspline.txt",0.05,132,113,132,127
45,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed45_label0_pep_ipspline.txt",0.01,132,109,132,125
45,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed45_label0_pep_ipspline.txt",0.05,132,113,132,127
46,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed46_label0_pep_ipspline.txt",0.01,132,109,132,125
46,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed46_label0_pep_ipspline.txt",0.05,132,113,132,127
47,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed47_label0_pep_ipspline.txt",0.01,132,109,132,125
47,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed47_label0_pep_ipspline.txt",0.05,132,113,132,127
48,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed48_label0_pep_ipspline.txt",0.01,132,109,132,126
48,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed48_label0_pep_ipspline.txt",0.05,132,113,132,126
49,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed49_label0_pep_ipspline.txt",0.01,132,109,132,126
49,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed49_label0_pep_ipspline.txt",0.05,132,114,132,127
50,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed50_label0_pep_ipspline.txt",0.01,132,109,132,126
50,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed50_label0_pep_ipspline.txt",0.05,132,114,132,127
51,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed51_label0_pep_ipspline.txt",0.01,132,109,132,125
51,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed51_label0_pep_ipspline.txt",0.05,132,113,132,127
52,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed52_label0_pep_ipspline.txt",0.01,132,109,132,125
