"seed","file","fdr_col","threshold","target_pass","target_total","decoy_pass","decoy_total"
24,"drep_tcell100p_scored_target_seed24_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
24,"drep_tcell100p_scored_target_seed24_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
25,"drep_tcell100p_scored_target_seed25_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
25,"drep_tcell100p_scored_target_seed25_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
26,"drep_tcell100p_scored_target_seed26_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
26,"drep_tcell100p_scored_target_seed26_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
27,"drep_tcell100p_scored_target_seed27_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
27,"drep_tcell100p_scored_target_seed27_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
28,"drep_tcell100p_scored_target_seed28_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
28,"drep_tcell100p_scored_target_seed28_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
29,"drep_tcell100p_scored_target_seed29_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
29,"drep_tcell100p_scored_target_seed29_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
30,"drep_tcell100p_scored_target_seed30_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
30,"drep_tcell100p_scored_target_seed30_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
31,"drep_tcell100p_scored_target_seed31_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
31,"drep_tcell100p_scored_target_seed31_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
32,"drep_tcell100p_scored_target_seed32_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
32,"drep_tcell100p_scored_target_seed32_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
33,"drep_tcell100p_scored_target_seed33_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
33,"drep_tcell100p_scored_target_seed33_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
34,"drep_tcell100p_scored_target_seed34_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
34,"drep_tcell100p_scored_target_seed34_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
35,"drep_tcell100p_scored_target_seed35_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
35,"drep_tcell100p_scored_target_seed35_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
36,"drep_tcell100p_scored_target_seed36_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
36,"drep_tcell100p_scored_target_seed36_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
37,"drep_tcell100p_scored_target_seed37_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
37,"drep_tcell100p_scored_target_seed37_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
38,"drep_tcell100p_scored_target_seed38_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
38,"drep_tcell100p_scored_target_seed38_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
39,"drep_tcell100p_scored_target_seed39_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
39,"drep_tcell100p_scored_target_seed39_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
40,"drep_tcell100p_scored_target_seed40_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
40,"drep_tcell100p_scored_target_seed40_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
41,"drep_tcell100p_scored_target_seed41_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
41,"drep_tcell100p_scored_target_seed41_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
42,"drep_tcell100p_scored_target_seed42_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
42,"drep_tcell100p_scored_target_seed42_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
43,"drep_tcell100p_scored_target_seed43_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
43,"drep_tcell100p_scored_target_seed43_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
44,"drep_tcell100p_scored_target_seed44_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
44,"drep_tcell100p_scored_target_seed44_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
45,"drep_tcell100p_scored_target_seed45_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
45,"drep_tcell100p_scored_target_seed45_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
46,"drep_tcell100p_scored_target_seed46_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
46,"drep_tcell100p_scored_target_seed46_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
47,"drep_tcell100p_scored_target_seed47_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
47,"drep_tcell100p_scored_target_seed47_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
48,"drep_tcell100p_scored_target_seed48_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
48,"drep_tcell100p_scored_target_seed48_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,117,132,0,0
49,"drep_tcell100p_scored_target_seed49_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
49,"drep_tcell100p_scored_target_seed49_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
50,"drep_tcell100p_scored_target_seed50_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
50,"drep_tcell100p_scored_target_seed50_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
51,"drep_tcell100p_scored_target_seed51_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
51,"drep_tcell100p_scored_target_seed51_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
52,"drep_tcell100p_scored_target_seed52_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
52,"drep_tcell100p_scored_target_seed52_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
53,"drep_tcell100p_scored_target_seed53_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
53,"drep_tcell100p_scored_target_seed53_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
54,"drep_tcell100p_scored_target_seed54_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
54,"drep_tcell100p_scored_target_seed54_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
55,"drep_tcell100p_scored_target_seed55_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
55,"drep_tcell100p_scored_target_seed55_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
56,"drep_tcell100p_scored_target_seed56_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
56,"drep_tcell100p_scored_target_seed56_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
57,"drep_tcell100p_scored_target_seed57_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
57,"drep_tcell100p_scored_target_seed57_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
58,"drep_tcell100p_scored_target_seed58_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
58,"drep_tcell100p_scored_target_seed58_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
59,"drep_tcell100p_scored_target_seed59_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
59,"drep_tcell100p_scored_target_seed59_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
60,"drep_tcell100p_scored_target_seed60_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
60,"drep_tcell100p_scored_target_seed60_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,117,132,0,0
61,"drep_tcell100p_scored_target_seed61_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
61,"drep_tcell100p_scored_target_seed61_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
62,"drep_tcell100p_scored_target_seed62_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
62,"drep_tcell100p_scored_target_seed62_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
63,"drep_tcell100p_scored_target_seed63_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
63,"drep_tcell100p_scored_target_seed63_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
64,"drep_tcell100p_scored_target_seed64_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
64,"drep_tcell100p_scored_target_seed64_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
65,"drep_tcell100p_scored_target_seed65_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
65,"drep_tcell100p_scored_target_seed65_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
66,"drep_tcell100p_scored_target_seed66_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
